Planet,Rp,Rp_unc,Period,Ms,Ms_unc_u,Ms_unc_l,Rs,Rs_unc_u,Rs_unc_l,SE_MN
Kepler-197c,1.208,0.048,10.34971154,0.922,0.059,0.059,1.120,0.033,0.033,-1
Kepler-409,1.148,0.048,68.9582529,0.95,0.08,0.08,0.9,0.02,0.02,-1
Kepler-197b,1.064,0.038,5.59929339,0.922,0.059,0.059,1.120,0.033,0.033,-1
Kepler-107d,1.064,0.062,7.9582511,1.142,0.068,0.068,1.411,0.047,0.047,-1
Kepler-1394,1.04,0.11,3.9380032,1.51,0.21,0.21,1.98,0.08,0.08,-1
K03168.01,0.988,0.076,56.38245,1.03,0.16,0.16,1.55,0.07,0.07,-1
Kepler-197e,0.983,0.048,25.209714,0.922,0.059,0.059,1.120,0.033,0.033,-1
Kepler-130b,0.976,0.045,8.4572511,0.934,0.059,0.059,1.127,0.033,0.033,-1
Kepler-68c,0.927,0.025,9.60497945,1.070,0.020,0.010,1.2379,0.0051,0.0067,-1
K02801.01,0.870,0.061,6.9918016,1.12,0.17,0.17,1.45,0.06,0.06,-1
Kepler-450d,0.837,0.068,7.5146423,1.346,0.084,0.084,1.570,0.085,0.085,-1
Kepler-910,0.828,0.049,2.36438832,1.29,0.09,0.09,1.5,0.03,0.03,-1
Kepler-37c,0.705,0.012,21.30207192,0.810,0.010,0.020,0.7725,0.0063,0.0051,-1
Kepler-408,0.689,0.017,2.46502417,1.02,0.07,0.07,1.21,0.02,0.02,-1
Kepler-1392,0.684,0.052,2.12822924,0.99,0.15,0.15,1.3,0.06,0.06,-1
Kepler-444f,0.679,0.008,9.74052936,0.740,0.010,0.010,0.7492,0.0040,0.0046,-1
K01964.01,0.668,0.029,2.229322685,0.93,0.11,0.11,0.88,0.03,0.03,-1
KOI-5c,0.642,0.061,7.0517413,1.199,0.030,0.020,1.795,0.014,0.015,-1
Kepler-444e,0.533,0.019,7.7435010,0.740,0.010,0.010,0.7492,0.0040,0.0046,-1
Kepler-444d,0.530,0.025,6.18951254,0.740,0.010,0.010,0.7492,0.0040,0.0046,-1
Kepler-444c,0.490,0.024,4.54581744,0.740,0.010,0.010,0.7492,0.0040,0.0046,-1
Kepler-444b,0.381,0.021,3.60012528,0.740,0.010,0.010,0.7492,0.0040,0.0046,-1
Kepler-37b,0.354,0.014,13.3680538,0.810,0.010,0.020,0.7725,0.0063,0.0051,-1
